,champion,champion1,champion2,champion3,champion4,champion5,champion6,champion7,champion8,champion9,teamPosition,tier,top_champs_overall,wins,losses,winPct,veteran,freshBlood,hotStreak,win
0,Lux,Malzahar,Senna,Camille,Volibear,KogMaw,XinZhao,KSante,Galio,Zyra,,MASTER,"['Elise', 'LeeSin', 'Diana']",75,55,0.576923077,FALSE,FALSE,FALSE,TRUE
1,Malzahar,Lux,Senna,Camille,Volibear,KogMaw,XinZhao,KSante,Galio,Zyra,,PLATINUM,"['Yuumi', 'Lulu', 'Lux']",26,23,0.530612245,FALSE,FALSE,FALSE,TRUE
2,Senna,Lux,Malzahar,Camille,Volibear,KogMaw,XinZhao,KSante,Galio,Zyra,,,"['Kaisa', 'Vayne', 'Lucian']",,,,,,,TRUE
3,Camille,Lux,Malzahar,Senna,Volibear,KogMaw,XinZhao,KSante,Galio,Zyra,,PLATINUM,"['Jax', 'Camille', 'Renekton']",7,6,0.538461538,FALSE,FALSE,TRUE,TRUE
4,Volibear,Lux,Malzahar,Senna,Camille,KogMaw,XinZhao,KSante,Galio,Zyra,,,"['Yasuo', 'LeeSin', 'Gangplank']",,,,,,,TRUE
0,Ahri,Blitzcrank,Draven,MissFortune,Yone,Kayn,Zed,Belveth,Lux,AurelionSol,,MASTER,"['Morgana', 'Yuumi', 'Kaisa']",87,62,0.583892617,FALSE,FALSE,FALSE,TRUE
1,Blitzcrank,Ahri,Draven,MissFortune,Yone,Kayn,Zed,Belveth,Lux,AurelionSol,,MASTER,"['Elise', 'LeeSin', 'Diana']",75,55,0.576923077,FALSE,FALSE,FALSE,TRUE
2,Draven,Ahri,Blitzcrank,MissFortune,Yone,Kayn,Zed,Belveth,Lux,AurelionSol,,PLATINUM,"['Jax', 'Camille', 'Renekton']",7,6,0.538461538,FALSE,FALSE,TRUE,TRUE
3,MissFortune,Ahri,Blitzcrank,Draven,Yone,Kayn,Zed,Belveth,Lux,AurelionSol,,PLATINUM,"['Darius', 'Yasuo', 'Shen']",6,6,0.5,FALSE,FALSE,FALSE,TRUE
4,Yone,Ahri,Blitzcrank,Draven,MissFortune,Kayn,Zed,Belveth,Lux,AurelionSol,,,"['Rengar', 'LeeSin', 'Zed']",,,,,,,TRUE
0,Jhin,Malzahar,Khazix,Xerath,Jayce,Zoe,Akshan,Yone,Seraphine,Pantheon,,SILVER,"['Ezreal', 'Jhin', 'Jinx']",24,20,0.545454545,FALSE,FALSE,FALSE,TRUE
1,Malzahar,Jhin,Khazix,Xerath,Jayce,Zoe,Akshan,Yone,Seraphine,Pantheon,,,"['Darius', 'Udyr', 'Yasuo']",,,,,,,TRUE
2,Khazix,Jhin,Malzahar,Xerath,Jayce,Zoe,Akshan,Yone,Seraphine,Pantheon,,,"['Vi', 'Udyr', 'Shen']",,,,,,,TRUE
3,Xerath,Jhin,Malzahar,Khazix,Jayce,Zoe,Akshan,Yone,Seraphine,Pantheon,,PLATINUM,"['Viktor', 'Graves', 'Kaisa']",46,45,0.505494505,FALSE,FALSE,FALSE,TRUE
4,Jayce,Jhin,Malzahar,Khazix,Xerath,Zoe,Akshan,Yone,Seraphine,Pantheon,,,"['Zed', 'Morgana', 'Ezreal']",,,,,,,TRUE
0,Anivia,Jayce,Sylas,Aatrox,Pantheon,Aphelios,Morgana,Nautilus,Olaf,Yasuo,,GOLD,"['Yuumi', 'Orianna', 'Lux']",63,53,0.543103448,FALSE,FALSE,FALSE,FALSE
1,Jayce,Anivia,Sylas,Aatrox,Pantheon,Aphelios,Morgana,Nautilus,Olaf,Yasuo,,MASTER,"['Elise', 'LeeSin', 'Diana']",75,55,0.576923077,FALSE,FALSE,FALSE,FALSE
2,Sylas,Anivia,Jayce,Aatrox,Pantheon,Aphelios,Morgana,Nautilus,Olaf,Yasuo,,PLATINUM,"['Jax', 'Camille', 'Renekton']",7,6,0.538461538,FALSE,FALSE,TRUE,FALSE
3,Aatrox,Anivia,Jayce,Sylas,Pantheon,Aphelios,Morgana,Nautilus,Olaf,Yasuo,,GOLD,"['Darius', 'MasterYi', 'Jax']",13,10,0.565217391,FALSE,FALSE,FALSE,FALSE
4,Pantheon,Anivia,Jayce,Sylas,Aatrox,Aphelios,Morgana,Nautilus,Olaf,Yasuo,,GOLD,"['Zed', 'Ezreal', 'Riven']",47,45,0.510869565,FALSE,FALSE,TRUE,FALSE
0,Sona,Belveth,Karthus,Ezreal,Malphite,Cassiopeia,Ekko,Sylas,Skarner,KogMaw,,CHALLENGER,"['Yuumi', 'Lulu', 'Seraphine']",37,4,0.902439024,FALSE,FALSE,TRUE,FALSE
1,Belveth,Sona,Karthus,Ezreal,Malphite,Cassiopeia,Ekko,Sylas,Skarner,KogMaw,,PLATINUM,"['Jax', 'Camille', 'Renekton']",7,6,0.538461538,FALSE,FALSE,TRUE,FALSE
2,Karthus,Sona,Belveth,Ezreal,Malphite,Cassiopeia,Ekko,Sylas,Skarner,KogMaw,,MASTER,"['MonkeyKing', 'Qiyana', 'Riven']",86,76,0.530864198,FALSE,FALSE,TRUE,FALSE
3,Ezreal,Sona,Belveth,Karthus,Malphite,Cassiopeia,Ekko,Sylas,Skarner,KogMaw,,MASTER,"['Xerath', 'Zeri', 'Senna']",54,20,0.72972973,FALSE,TRUE,FALSE,FALSE
