,champion,champion1,champion2,champion3,champion4,champion5,champion6,champion7,champion8,champion9,teamPosition,tier,top_champs_overall,wins,losses,winPct,veteran,freshBlood,hotStreak,win
0,Gnar,LeeSin,Xayah,Sylas,Janna,Sett,Fiddlesticks,Galio,Seraphine,Senna,TOP,MASTER,"['JarvanIV', 'Khazix', 'Gnar']",119,95,0.556074766,FALSE,FALSE,FALSE,FALSE
1,LeeSin,Gnar,Xayah,Sylas,Janna,Sett,Fiddlesticks,Galio,Seraphine,Senna,JUNGLE,MASTER,"['LeeSin', 'Gragas', 'Graves']",148,150,0.496644295,FALSE,TRUE,FALSE,FALSE
2,Xayah,Gnar,LeeSin,Sylas,Janna,Sett,Fiddlesticks,Galio,Seraphine,Senna,BOTTOM,DIAMOND,"['Kaisa', 'Xayah', 'MissFortune']",65,48,0.575221239,FALSE,FALSE,TRUE,FALSE
3,Sylas,Gnar,LeeSin,Xayah,Janna,Sett,Fiddlesticks,Galio,Seraphine,Senna,MIDDLE,MASTER,"['Ezreal', 'Jinx', 'Kaisa']",192,204,0.484848485,FALSE,TRUE,TRUE,FALSE
4,Janna,Gnar,LeeSin,Xayah,Sylas,Sett,Fiddlesticks,Galio,Seraphine,Senna,UTILITY,DIAMOND,"['Janna', 'Twitch', 'Nidalee']",86,78,0.524390244,FALSE,TRUE,FALSE,FALSE
0,Singed,RekSai,Viktor,Kaisa,Thresh,Gnar,Fiddlesticks,Galio,Draven,Senna,TOP,MASTER,"['Singed', 'Rengar', 'Ekko']",192,126,0.603773585,FALSE,FALSE,FALSE,FALSE
1,RekSai,Singed,Viktor,Kaisa,Thresh,Gnar,Fiddlesticks,Galio,Draven,Senna,JUNGLE,MASTER,"['RekSai', 'Skarner', 'Kayn']",78,69,0.530612245,FALSE,FALSE,FALSE,FALSE
2,Viktor,Singed,RekSai,Kaisa,Thresh,Gnar,Fiddlesticks,Galio,Draven,Senna,MIDDLE,MASTER,"['Viktor', 'Orianna', 'Azir']",82,65,0.557823129,FALSE,FALSE,TRUE,FALSE
3,Kaisa,Singed,RekSai,Viktor,Thresh,Gnar,Fiddlesticks,Galio,Draven,Senna,BOTTOM,MASTER,"['Kaisa', 'Jhin', 'Seraphine']",156,147,0.514851485,FALSE,FALSE,FALSE,FALSE
4,Thresh,Singed,RekSai,Viktor,Kaisa,Gnar,Fiddlesticks,Galio,Draven,Senna,UTILITY,DIAMOND,"['Thresh', 'Morgana', 'Yuumi']",249,233,0.51659751,FALSE,TRUE,FALSE,FALSE
0,Kled,MonkeyKing,Rumble,Xayah,Rakan,Tryndamere,Hecarim,Mordekaiser,Zeri,Yuumi,TOP,DIAMOND,"['Kled', 'Draven', 'Singed']",117,76,0.606217617,FALSE,TRUE,FALSE,TRUE
1,MonkeyKing,Kled,Rumble,Xayah,Rakan,Tryndamere,Hecarim,Mordekaiser,Zeri,Yuumi,JUNGLE,MASTER,"['MonkeyKing', 'Evelynn', 'Galio']",62,39,0.613861386,FALSE,TRUE,TRUE,TRUE
2,Rumble,Kled,MonkeyKing,Xayah,Rakan,Tryndamere,Hecarim,Mordekaiser,Zeri,Yuumi,MIDDLE,MASTER,"['Rumble', 'Velkoz', 'Brand']",31,22,0.58490566,FALSE,TRUE,FALSE,TRUE
3,Xayah,Kled,MonkeyKing,Rumble,Rakan,Tryndamere,Hecarim,Mordekaiser,Zeri,Yuumi,BOTTOM,MASTER,"['Lux', 'Sona', 'Ahri']",151,142,0.515358362,FALSE,TRUE,FALSE,TRUE
4,Rakan,Kled,MonkeyKing,Rumble,Xayah,Tryndamere,Hecarim,Mordekaiser,Zeri,Yuumi,UTILITY,GOLD,"['Nami', 'Nautilus', 'Seraphine']",18,19,0.486486486,FALSE,FALSE,FALSE,TRUE
0,Irelia,JarvanIV,Vex,Nilah,Milio,Riven,MonkeyKing,Galio,Jhin,Nami,TOP,,[],,,,,,,FALSE
1,JarvanIV,Irelia,Vex,Nilah,Milio,Riven,MonkeyKing,Galio,Jhin,Nami,JUNGLE,DIAMOND,"['Tryndamere', 'Zed', 'Riven']",65,53,0.550847458,FALSE,FALSE,FALSE,FALSE
2,Vex,Irelia,JarvanIV,Nilah,Milio,Riven,MonkeyKing,Galio,Jhin,Nami,MIDDLE,DIAMOND,"['Nidalee', 'Sylas', 'MonkeyKing']",118,98,0.546296296,FALSE,FALSE,FALSE,FALSE
3,Nilah,Irelia,JarvanIV,Vex,Milio,Riven,MonkeyKing,Galio,Jhin,Nami,BOTTOM,DIAMOND,"['Aphelios', 'Nilah', 'Yasuo']",253,253,0.5,FALSE,FALSE,FALSE,FALSE
4,Milio,Irelia,JarvanIV,Vex,Nilah,Riven,MonkeyKing,Galio,Jhin,Nami,UTILITY,DIAMOND,"['Brand', 'Vex', 'Leona']",171,142,0.546325879,TRUE,FALSE,FALSE,FALSE
0,Aatrox,Gragas,Syndra,Varus,Milio,Garen,Evelynn,Gangplank,Sivir,Bard,TOP,DIAMOND,"['Aatrox', 'Akali', 'Zed']",27,31,0.465517241,FALSE,FALSE,FALSE,TRUE
1,Gragas,Aatrox,Syndra,Varus,Milio,Garen,Evelynn,Gangplank,Sivir,Bard,JUNGLE,PLATINUM,"['Sylas', 'LeeSin', 'Gragas']",26,20,0.565217391,FALSE,FALSE,FALSE,TRUE
2,Syndra,Aatrox,Gragas,Varus,Milio,Garen,Evelynn,Gangplank,Sivir,Bard,MIDDLE,MASTER,"['Jayce', 'Viktor', 'Renekton']",137,132,0.50929368,FALSE,TRUE,FALSE,TRUE
3,Varus,Aatrox,Gragas,Syndra,Milio,Garen,Evelynn,Gangplank,Sivir,Bard,BOTTOM,MASTER,"['Draven', 'Varus', 'Ezreal']",254,231,0.52371134,FALSE,TRUE,TRUE,TRUE
4,Milio,Aatrox,Gragas,Syndra,Varus,Garen,Evelynn,Gangplank,Sivir,Bard,UTILITY,MASTER,"['Lux', 'Ashe', 'Caitlyn']",41,36,0.532467532,FALSE,FALSE,FALSE,TRUE
0,Gragas,Jax,Galio,Zeri,Karma,Pantheon,LeeSin,Yone,Ryze,Thresh,TOP,GOLD,"['Riven', 'Yasuo', 'Vayne']",12,7,0.631578947,FALSE,FALSE,FALSE,TRUE
1,Jax,Gragas,Galio,Zeri,Karma,Pantheon,LeeSin,Yone,Ryze,Thresh,JUNGLE,MASTER,"['MasterYi', 'Jax', 'Rammus']",39,23,0.629032258,FALSE,TRUE,FALSE,TRUE
2,Galio,Gragas,Jax,Zeri,Karma,Pantheon,LeeSin,Yone,Ryze,Thresh,MIDDLE,MASTER,"['MonkeyKing', 'Evelynn', 'Galio']",62,39,0.613861386,FALSE,TRUE,TRUE,TRUE
3,Zeri,Gragas,Jax,Galio,Karma,Pantheon,LeeSin,Yone,Ryze,Thresh,BOTTOM,PLATINUM,"['Lucian', 'Twitch', 'Ezreal']",9,12,0.428571429,FALSE,FALSE,FALSE,TRUE
4,Karma,Gragas,Jax,Galio,Zeri,Pantheon,LeeSin,Yone,Ryze,Thresh,UTILITY,DIAMOND,"['Samira', 'Kaisa', 'Caitlyn']",181,175,0.508426966,FALSE,TRUE,FALSE,TRUE
0,Jax,Rengar,Galio,Twitch,Blitzcrank,Mordekaiser,Kindred,Tristana,KogMaw,Lulu,TOP,DIAMOND,"['Riven', 'Fiora', 'LeeSin']",63,61,0.508064516,FALSE,FALSE,FALSE,TRUE
1,Rengar,Jax,Galio,Twitch,Blitzcrank,Mordekaiser,Kindred,Tristana,KogMaw,Lulu,JUNGLE,MASTER,"['Rengar', 'Yasuo', 'Kayn']",130,113,0.534979424,FALSE,TRUE,FALSE,TRUE
2,Galio,Jax,Rengar,Twitch,Blitzcrank,Mordekaiser,Kindred,Tristana,KogMaw,Lulu,MIDDLE,MASTER,"['MonkeyKing', 'Evelynn', 'Galio']",62,39,0.613861386,FALSE,TRUE,TRUE,TRUE
3,Twitch,Jax,Rengar,Galio,Blitzcrank,Mordekaiser,Kindred,Tristana,KogMaw,Lulu,BOTTOM,PLATINUM,"['Lucian', 'Twitch', 'Ezreal']",9,12,0.428571429,FALSE,FALSE,FALSE,TRUE
4,Blitzcrank,Jax,Rengar,Galio,Twitch,Mordekaiser,Kindred,Tristana,KogMaw,Lulu,UTILITY,DIAMOND,"['Kayn', 'Hecarim', 'Viego']",272,270,0.501845018,FALSE,TRUE,FALSE,TRUE
0,Aatrox,Senna,Illaoi,Veigar,MonkeyKing,Yasuo,Rammus,Ezreal,Taliyah,Karma,TOP,DIAMOND,"['Jayce', 'Darius', 'Aatrox']",158,162,0.49375,TRUE,FALSE,FALSE,FALSE
1,Senna,Aatrox,Illaoi,Veigar,MonkeyKing,Yasuo,Rammus,Ezreal,Taliyah,Karma,UTILITY,DIAMOND,"['Jhin', 'Graves', 'Sivir']",187,195,0.489528796,FALSE,TRUE,FALSE,FALSE
2,Illaoi,Aatrox,Senna,Veigar,MonkeyKing,Yasuo,Rammus,Ezreal,Taliyah,Karma,MIDDLE,DIAMOND,"['Darius', 'Pyke', 'Yasuo']",126,110,0.533898305,FALSE,FALSE,FALSE,FALSE
3,Veigar,Aatrox,Senna,Illaoi,MonkeyKing,Yasuo,Rammus,Ezreal,Taliyah,Karma,BOTTOM,MASTER,"['Anivia', 'Vex', 'Ezreal']",157,158,0.498412698,FALSE,TRUE,FALSE,FALSE
4,MonkeyKing,Aatrox,Senna,Illaoi,Veigar,Yasuo,Rammus,Ezreal,Taliyah,Karma,JUNGLE,DIAMOND,"['Samira', 'Kaisa', 'Caitlyn']",181,175,0.508426966,FALSE,TRUE,FALSE,FALSE
