,champion,champion1,champion2,champion3,champion4,champion5,champion6,champion7,champion8,champion9,teamPosition,tier,top_champs_overall,wins,losses,winPct,veteran,freshBlood,hotStreak,win
0,Soraka,Aphelios,Karma,Lulu,Warwick,Ekko,Irelia,Kindred,Renata,Hecarim,,,"['Nami', 'Janna', 'Sona']",,,,,,,FALSE
1,Aphelios,Soraka,Karma,Lulu,Warwick,Ekko,Irelia,Kindred,Renata,Hecarim,,MASTER,"['Graves', 'Diana', 'Kindred']",129,109,0.542016807,TRUE,FALSE,FALSE,FALSE
2,Karma,Soraka,Aphelios,Lulu,Warwick,Ekko,Irelia,Kindred,Renata,Hecarim,,SILVER,"['Heimerdinger', 'Zyra', 'Karma']",4,8,0.333333333,FALSE,FALSE,FALSE,FALSE
3,Lulu,Soraka,Aphelios,Karma,Warwick,Ekko,Irelia,Kindred,Renata,Hecarim,,GOLD,"['MissFortune', 'Teemo', 'Veigar']",20,6,0.769230769,FALSE,FALSE,TRUE,FALSE
4,Warwick,Soraka,Aphelios,Karma,Lulu,Ekko,Irelia,Kindred,Renata,Hecarim,,,"['Swain', 'Sejuani', 'Galio']",,,,,,,FALSE
0,Vi,Karthus,Nautilus,Vex,TahmKench,Veigar,Ahri,Taliyah,Alistar,Zyra,,,"['Leona', 'MonkeyKing', 'Pantheon']",,,,,,,FALSE
1,Karthus,Vi,Nautilus,Vex,TahmKench,Veigar,Ahri,Taliyah,Alistar,Zyra,,SILVER,"['Nami', 'Lux', 'Karma']",30,34,0.46875,FALSE,FALSE,FALSE,FALSE
2,Nautilus,Vi,Karthus,Vex,TahmKench,Veigar,Ahri,Taliyah,Alistar,Zyra,,,"['Volibear', 'Taric', 'MasterYi']",,,,,,,FALSE
3,Vex,Vi,Karthus,Nautilus,TahmKench,Veigar,Ahri,Taliyah,Alistar,Zyra,,,"['Ziggs', 'Veigar', 'Caitlyn']",,,,,,,FALSE
4,TahmKench,Vi,Karthus,Nautilus,Vex,Veigar,Ahri,Taliyah,Alistar,Zyra,,,"['Tristana', 'Shen', 'Mordekaiser']",,,,,,,FALSE
0,Jinx,Nidalee,Swain,Vi,Malphite,Maokai,Twitch,Quinn,Xayah,Ryze,,GOLD,"['Nasus', 'Nocturne', 'Garen']",103,115,0.472477064,FALSE,FALSE,FALSE,TRUE
1,Nidalee,Jinx,Swain,Vi,Malphite,Maokai,Twitch,Quinn,Xayah,Ryze,,BRONZE,"['Yone', 'Jinx', 'Viego']",41,39,0.5125,FALSE,FALSE,FALSE,TRUE
2,Swain,Jinx,Nidalee,Vi,Malphite,Maokai,Twitch,Quinn,Xayah,Ryze,,,"['Sion', 'Thresh', 'DrMundo']",,,,,,,TRUE
3,Vi,Jinx,Nidalee,Swain,Malphite,Maokai,Twitch,Quinn,Xayah,Ryze,,MASTER,"['Graves', 'Diana', 'Kindred']",129,109,0.542016807,TRUE,FALSE,FALSE,TRUE
4,Malphite,Jinx,Nidalee,Swain,Vi,Maokai,Twitch,Quinn,Xayah,Ryze,,SILVER,"['Heimerdinger', 'Zyra', 'Karma']",4,8,0.333333333,FALSE,FALSE,FALSE,TRUE
0,Fiddlesticks,Nami,Zeri,Yone,Tryndamere,Brand,Karma,Vayne,Fizz,Sett,,MASTER,"['Graves', 'Diana', 'Kindred']",129,109,0.542016807,TRUE,FALSE,FALSE,FALSE
1,Nami,Fiddlesticks,Zeri,Yone,Tryndamere,Brand,Karma,Vayne,Fizz,Sett,,SILVER,"['Heimerdinger', 'Zyra', 'Karma']",4,8,0.333333333,FALSE,FALSE,FALSE,FALSE
2,Zeri,Fiddlesticks,Nami,Yone,Tryndamere,Brand,Karma,Vayne,Fizz,Sett,,,"['Bard', 'Fiddlesticks', 'Malzahar']",,,,,,,FALSE
3,Yone,Fiddlesticks,Nami,Zeri,Tryndamere,Brand,Karma,Vayne,Fizz,Sett,,BRONZE,"['Riven', 'Yasuo', 'Syndra']",8,2,0.8,FALSE,FALSE,FALSE,FALSE
4,Tryndamere,Fiddlesticks,Nami,Zeri,Yone,Brand,Karma,Vayne,Fizz,Sett,,,"['Nami', 'Yuumi', 'Soraka']",,,,,,,FALSE
0,Gragas,Morgana,Volibear,Varus,Maokai,Ahri,Syndra,Nunu,Nasus,Zeri,,MASTER,"['Graves', 'Diana', 'Kindred']",129,109,0.542016807,TRUE,FALSE,FALSE,TRUE
1,Morgana,Gragas,Volibear,Varus,Maokai,Ahri,Syndra,Nunu,Nasus,Zeri,,SILVER,"['Heimerdinger', 'Zyra', 'Karma']",4,8,0.333333333,FALSE,FALSE,FALSE,TRUE
2,Volibear,Gragas,Morgana,Varus,Maokai,Ahri,Syndra,Nunu,Nasus,Zeri,,,"['MonkeyKing', 'Warwick', 'Lux']",,,,,,,TRUE
3,Varus,Gragas,Morgana,Volibear,Maokai,Ahri,Syndra,Nunu,Nasus,Zeri,,,"['Jhin', 'Kaisa', 'Lissandra']",,,,,,,TRUE
4,Maokai,Gragas,Morgana,Volibear,Varus,Ahri,Syndra,Nunu,Nasus,Zeri,,PLATINUM,"['Singed', 'Tryndamere', 'DrMundo']",44,26,0.628571429,FALSE,FALSE,TRUE,TRUE
0,Urgot,Lillia,Blitzcrank,Lissandra,Ezreal,Senna,Azir,Kaisa,Pyke,Swain,,MASTER,"['Graves', 'Diana', 'Kindred']",129,109,0.542016807,TRUE,FALSE,FALSE,TRUE
1,Lillia,Urgot,Blitzcrank,Lissandra,Ezreal,Senna,Azir,Kaisa,Pyke,Swain,,SILVER,"['Heimerdinger', 'Zyra', 'Karma']",4,8,0.333333333,FALSE,FALSE,FALSE,TRUE
2,Blitzcrank,Urgot,Lillia,Lissandra,Ezreal,Senna,Azir,Kaisa,Pyke,Swain,,,"['Shaco', 'RekSai', 'Braum']",,,,,,,TRUE
3,Lissandra,Urgot,Lillia,Blitzcrank,Ezreal,Senna,Azir,Kaisa,Pyke,Swain,,,"['Sejuani', 'Thresh', 'LeeSin']",,,,,,,TRUE
4,Ezreal,Urgot,Lillia,Blitzcrank,Lissandra,Senna,Azir,Kaisa,Pyke,Swain,,BRONZE,"['Vayne', 'Leona', 'Ezreal']",31,35,0.46969697,FALSE,FALSE,FALSE,TRUE
0,Pantheon,Jax,Kindred,Janna,Ziggs,Yasuo,Diana,MissFortune,Nami,Malzahar,,,"['Nunu', 'Tryndamere', 'Veigar']",,,,,,,TRUE
1,Jax,Pantheon,Kindred,Janna,Ziggs,Yasuo,Diana,MissFortune,Nami,Malzahar,,IRON,"['LeeSin', 'Kassadin', 'Lucian']",23,20,0.534883721,FALSE,FALSE,FALSE,TRUE
2,Kindred,Pantheon,Jax,Janna,Ziggs,Yasuo,Diana,MissFortune,Nami,Malzahar,,SILVER,"['Jinx', 'Vayne', 'Jhin']",17,9,0.653846154,FALSE,FALSE,TRUE,TRUE
3,Janna,Pantheon,Jax,Kindred,Ziggs,Yasuo,Diana,MissFortune,Nami,Malzahar,,,"['MissFortune', 'Lux', 'Nami']",,,,,,,TRUE
4,Ziggs,Pantheon,Jax,Kindred,Janna,Yasuo,Diana,MissFortune,Nami,Malzahar,,,"['JarvanIV', 'Nocturne', 'XinZhao']",,,,,,,TRUE
0,LeeSin,Urgot,Syndra,Kaisa,Rakan,Brand,Diana,Taliyah,Lucian,Taric,,,"['Jhin', 'Lux', 'Ezreal']",,,,,,,TRUE
1,Urgot,LeeSin,Syndra,Kaisa,Rakan,Brand,Diana,Taliyah,Lucian,Taric,,,"['Shaco', 'Nautilus', 'Pantheon']",,,,,,,TRUE
2,Syndra,LeeSin,Urgot,Kaisa,Rakan,Brand,Diana,Taliyah,Lucian,Taric,,,"['Bard', 'Gragas', 'Ezreal']",,,,,,,TRUE
3,Kaisa,LeeSin,Urgot,Syndra,Rakan,Brand,Diana,Taliyah,Lucian,Taric,,SILVER,"['Caitlyn', 'Ashe', 'Fiora']",10,7,0.588235294,FALSE,FALSE,FALSE,TRUE
4,Rakan,LeeSin,Urgot,Syndra,Kaisa,Brand,Diana,Taliyah,Lucian,Taric,,,"['Bard', 'Nunu', 'Sona']",,,,,,,TRUE
0,Corki,Velkoz,Sett,Riven,Garen,AurelionSol,Fiora,Varus,Brand,Xerath,,SILVER,"['Ezreal', 'Sett', 'Blitzcrank']",10,13,0.434782609,FALSE,FALSE,FALSE,TRUE
1,Velkoz,Corki,Sett,Riven,Garen,AurelionSol,Fiora,Varus,Brand,Xerath,,,"['Velkoz', 'TwistedFate', 'Teemo']",,,,,,,TRUE
2,Sett,Corki,Velkoz,Riven,Garen,AurelionSol,Fiora,Varus,Brand,Xerath,,,"['Sett', 'Aatrox', 'Seraphine']",,,,,,,TRUE
3,Riven,Corki,Velkoz,Sett,Garen,AurelionSol,Fiora,Varus,Brand,Xerath,,,"['Talon', 'Yuumi', 'Diana']",,,,,,,TRUE
4,Garen,Corki,Velkoz,Sett,Riven,AurelionSol,Fiora,Varus,Brand,Xerath,,,"['Teemo', 'Annie', 'Blitzcrank']",,,,,,,TRUE
0,Aatrox,Janna,Karma,Aphelios,Syndra,Warwick,Morgana,Darius,AurelionSol,Irelia,,MASTER,"['Graves', 'Diana', 'Kindred']",129,109,0.542016807,TRUE,FALSE,FALSE,TRUE
