,champion,champion1,champion2,champion3,champion4,champion5,champion6,champion7,champion8,champion9,teamPosition,tier,top_champs_overall,wins,losses,winPct,veteran,freshBlood,hotStreak,win
0,Akali,Rengar,Anivia,Varus,Renata,Jax,Amumu,Diana,Caitlyn,Karma,TOP,DIAMOND,"['Ahri', 'Gnar', 'Fiora']",54,62,0.465517241,FALSE,TRUE,FALSE,TRUE
1,Rengar,Akali,Anivia,Varus,Renata,Jax,Amumu,Diana,Caitlyn,Karma,JUNGLE,,[],,,,,,,TRUE
2,Anivia,Akali,Rengar,Varus,Renata,Jax,Amumu,Diana,Caitlyn,Karma,MIDDLE,DIAMOND,"['Anivia', 'Lux', 'Ryze']",38,32,0.542857143,FALSE,FALSE,FALSE,TRUE
3,Varus,Akali,Rengar,Anivia,Renata,Jax,Amumu,Diana,Caitlyn,Karma,BOTTOM,DIAMOND,"['Jhin', 'Caitlyn', 'Thresh']",107,99,0.519417476,FALSE,FALSE,FALSE,TRUE
4,Renata,Akali,Rengar,Anivia,Varus,Jax,Amumu,Diana,Caitlyn,Karma,UTILITY,MASTER,"['Senna', 'Azir', 'Pyke']",390,349,0.527740189,FALSE,FALSE,FALSE,TRUE
0,Jax,Nidalee,Anivia,Kaisa,Renata,Yasuo,Nunu,Caitlyn,Tristana,Blitzcrank,TOP,PLATINUM,"['Alistar', 'Jax', 'Khazix']",23,15,0.605263158,FALSE,FALSE,TRUE,TRUE
1,Nidalee,Jax,Anivia,Kaisa,Renata,Yasuo,Nunu,Caitlyn,Tristana,Blitzcrank,JUNGLE,MASTER,"['Talon', 'Shaco', 'Graves']",51,45,0.53125,FALSE,TRUE,FALSE,TRUE
2,Anivia,Jax,Nidalee,Kaisa,Renata,Yasuo,Nunu,Caitlyn,Tristana,Blitzcrank,MIDDLE,DIAMOND,"['Anivia', 'Lux', 'Ryze']",38,32,0.542857143,FALSE,FALSE,FALSE,TRUE
3,Kaisa,Jax,Nidalee,Anivia,Renata,Yasuo,Nunu,Caitlyn,Tristana,Blitzcrank,BOTTOM,DIAMOND,"['Kaisa', 'Ezreal', 'Zeri']",23,24,0.489361702,FALSE,FALSE,FALSE,TRUE
4,Renata,Jax,Nidalee,Anivia,Kaisa,Yasuo,Nunu,Caitlyn,Tristana,Blitzcrank,UTILITY,MASTER,"['Senna', 'Azir', 'Pyke']",390,349,0.527740189,FALSE,FALSE,FALSE,TRUE
0,Darius,Ekko,Azir,Jhin,Karthus,Sion,Rengar,Karma,Zeri,Sona,TOP,GRANDMASTER,"['Darius', 'Jax', 'Riven']",236,226,0.510822511,FALSE,TRUE,FALSE,FALSE
1,Ekko,Darius,Azir,Jhin,Karthus,Sion,Rengar,Karma,Zeri,Sona,JUNGLE,DIAMOND,"['Ekko', 'Yasuo', 'Zed']",9,9,0.5,FALSE,FALSE,FALSE,FALSE
2,Azir,Darius,Ekko,Jhin,Karthus,Sion,Rengar,Karma,Zeri,Sona,MIDDLE,DIAMOND,"['Shen', 'LeeSin', 'Azir']",177,160,0.525222552,FALSE,TRUE,FALSE,FALSE
3,Jhin,Darius,Ekko,Azir,Karthus,Sion,Rengar,Karma,Zeri,Sona,BOTTOM,MASTER,"['Jhin', 'Jinx', 'Aphelios']",120,113,0.515021459,TRUE,FALSE,FALSE,FALSE
4,Karthus,Darius,Ekko,Azir,Jhin,Sion,Rengar,Karma,Zeri,Sona,UTILITY,DIAMOND,"['Nautilus', 'Karma', 'Pyke']",86,106,0.447916667,FALSE,FALSE,FALSE,FALSE
0,Singed,MonkeyKing,Yasuo,Jhin,Sona,Pantheon,Sylas,Tristana,Varus,Karthus,TOP,MASTER,"['Singed', 'Yone', 'DrMundo']",137,129,0.515037594,TRUE,FALSE,FALSE,TRUE
1,MonkeyKing,Singed,Yasuo,Jhin,Sona,Pantheon,Sylas,Tristana,Varus,Karthus,JUNGLE,DIAMOND,"['Gragas', 'LeeSin', 'Viego']",39,37,0.513157895,FALSE,FALSE,FALSE,TRUE
2,Yasuo,Singed,MonkeyKing,Jhin,Sona,Pantheon,Sylas,Tristana,Varus,Karthus,MIDDLE,GOLD,"['Yasuo', 'Heimerdinger', 'Ekko']",6,14,0.3,FALSE,FALSE,FALSE,TRUE
3,Jhin,Singed,MonkeyKing,Yasuo,Sona,Pantheon,Sylas,Tristana,Varus,Karthus,BOTTOM,MASTER,"['Caitlyn', 'Vayne', 'Lux']",106,108,0.495327103,FALSE,FALSE,FALSE,TRUE
4,Sona,Singed,MonkeyKing,Yasuo,Jhin,Pantheon,Sylas,Tristana,Varus,Karthus,UTILITY,PLATINUM,"['MissFortune', 'Sona', 'Akali']",9,7,0.5625,FALSE,FALSE,TRUE,TRUE
0,Nasus,Qiyana,Ahri,Ezreal,Twitch,Gwen,Nidalee,Yone,Xayah,Thresh,TOP,MASTER,"['Nasus', 'Amumu', 'Kassadin']",136,116,0.53968254,FALSE,TRUE,FALSE,FALSE
1,Qiyana,Nasus,Ahri,Ezreal,Twitch,Gwen,Nidalee,Yone,Xayah,Thresh,JUNGLE,MASTER,"['Qiyana', 'Riven', 'LeeSin']",70,69,0.503597122,FALSE,FALSE,FALSE,FALSE
2,Ahri,Nasus,Qiyana,Ezreal,Twitch,Gwen,Nidalee,Yone,Xayah,Thresh,MIDDLE,DIAMOND,"['Leblanc', 'Irelia', 'Talon']",181,208,0.46529563,FALSE,FALSE,FALSE,FALSE
3,Ezreal,Nasus,Qiyana,Ahri,Twitch,Gwen,Nidalee,Yone,Xayah,Thresh,BOTTOM,MASTER,"['Ezreal', 'Irelia', 'Kaisa']",54,58,0.482142857,FALSE,TRUE,FALSE,FALSE
4,Twitch,Nasus,Qiyana,Ahri,Ezreal,Gwen,Nidalee,Yone,Xayah,Thresh,UTILITY,DIAMOND,"['Nautilus', 'Karma', 'Pyke']",86,106,0.447916667,FALSE,FALSE,FALSE,FALSE
0,Illaoi,Rammus,Viktor,Aphelios,Thresh,Renekton,Graves,Swain,Jhin,Karthus,TOP,GRANDMASTER,"['Thresh', 'Gangplank', 'Yasuo']",460,418,0.523917995,FALSE,TRUE,FALSE,TRUE
1,Rammus,Illaoi,Viktor,Aphelios,Thresh,Renekton,Graves,Swain,Jhin,Karthus,JUNGLE,GOLD,"['Rammus', 'Zac', 'Olaf']",11,8,0.578947368,FALSE,FALSE,FALSE,TRUE
2,Viktor,Illaoi,Rammus,Aphelios,Thresh,Renekton,Graves,Swain,Jhin,Karthus,MIDDLE,MASTER,"['Yone', 'Yasuo', 'Kassadin']",104,109,0.488262911,TRUE,FALSE,FALSE,TRUE
3,Aphelios,Illaoi,Rammus,Viktor,Thresh,Renekton,Graves,Swain,Jhin,Karthus,BOTTOM,,[],,,,,,,TRUE
4,Thresh,Illaoi,Rammus,Viktor,Aphelios,Renekton,Graves,Swain,Jhin,Karthus,UTILITY,DIAMOND,"['Thresh', 'Karma', 'Lulu']",19,19,0.5,FALSE,FALSE,FALSE,TRUE
0,Camille,Sylas,Zed,Samira,Karthus,Gangplank,Zac,Yone,Seraphine,Senna,TOP,,[],,,,,,,TRUE
1,Sylas,Camille,Zed,Samira,Karthus,Gangplank,Zac,Yone,Seraphine,Senna,JUNGLE,MASTER,"['Braum', 'XinZhao', 'Udyr']",42,31,0.575342466,FALSE,FALSE,FALSE,TRUE
2,Zed,Camille,Sylas,Samira,Karthus,Gangplank,Zac,Yone,Seraphine,Senna,MIDDLE,MASTER,"['Zed', 'Yasuo', 'Yone']",136,154,0.468965517,TRUE,FALSE,FALSE,TRUE
3,Samira,Camille,Sylas,Zed,Karthus,Gangplank,Zac,Yone,Seraphine,Senna,BOTTOM,DIAMOND,"['Samira', 'Twitch', 'Rengar']",27,17,0.613636364,FALSE,FALSE,FALSE,TRUE
4,Karthus,Camille,Sylas,Zed,Samira,Gangplank,Zac,Yone,Seraphine,Senna,UTILITY,DIAMOND,"['Nautilus', 'Karma', 'Pyke']",86,106,0.447916667,FALSE,FALSE,FALSE,TRUE
0,Irelia,Amumu,Sett,Twitch,Karthus,Vladimir,Diana,Talon,Varus,Xerath,TOP,DIAMOND,"['Irelia', 'Aatrox', 'Hecarim']",58,42,0.58,FALSE,FALSE,FALSE,FALSE
1,Amumu,Irelia,Sett,Twitch,Karthus,Vladimir,Diana,Talon,Varus,Xerath,JUNGLE,DIAMOND,"['Pyke', 'Karma', 'Lux']",29,24,0.547169811,FALSE,FALSE,FALSE,FALSE
2,Sett,Irelia,Amumu,Twitch,Karthus,Vladimir,Diana,Talon,Varus,Xerath,MIDDLE,DIAMOND,"['Sylas', 'Kassadin', 'Graves']",36,51,0.413793103,FALSE,FALSE,FALSE,FALSE
3,Twitch,Irelia,Amumu,Sett,Karthus,Vladimir,Diana,Talon,Varus,Xerath,BOTTOM,MASTER,"['Draven', 'Vayne', 'Twitch']",86,81,0.51497006,FALSE,FALSE,FALSE,FALSE
4,Karthus,Irelia,Amumu,Sett,Twitch,Vladimir,Diana,Talon,Varus,Xerath,UTILITY,DIAMOND,"['Nautilus', 'Karma', 'Pyke']",86,106,0.447916667,FALSE,FALSE,FALSE,FALSE
0,Shen,Graves,Veigar,Varus,Nautilus,Gangplank,Diana,Qiyana,Ezreal,Karma,TOP,MASTER,"['Rengar', 'Riven', 'Gangplank']",72,69,0.510638298,FALSE,FALSE,FALSE,FALSE
1,Graves,Shen,Veigar,Varus,Nautilus,Gangplank,Diana,Qiyana,Ezreal,Karma,JUNGLE,MASTER,"['Yasuo', 'Ekko', 'Graves']",187,189,0.497340426,FALSE,TRUE,FALSE,FALSE
2,Veigar,Shen,Graves,Varus,Nautilus,Gangplank,Diana,Qiyana,Ezreal,Karma,MIDDLE,MASTER,"['Veigar', 'Gwen', 'Nasus']",286,265,0.519056261,FALSE,TRUE,FALSE,FALSE
